year,selling_price,km_driven,mileage,engine,max_power,torque,seats
1994,509.98300000000006,1,0,624,32.8,4.8,2
2012,4590,35000,16.78,1197,68.05,101,5
2015,7650.000000000001,60000,19.3,1248,82,154.9,5
2013.9839362509485,11046.833254363775,69188.65975208703,19.419860865165695,1458.7088287376675,91.587373513787,168.2941411586137,5.4163926132051605
2017,11730,95425,22.32,1582,102,202,5
2020,170000,2360457,42,3604,400,789,14
